week,location,average_price
26-08-2008,Kolkata,176.74(166.83)
26-08-2008,Guwahati,153.87(142.38)
26-08-2008,Siliguri,124.43(127.29)
26-08-2008,Jalpaiguri,NS(NS)
26-08-2008,mjunction,
26-08-2008,Cochin,114.15(120.04)
26-08-2008,Coonoor,65.54(94.63)
26-08-2008,Coimbatore,81.82(96.64)
19-08-2008,Kolkata,179.36(171.08)
19-08-2008,Guwahati,153.62(141.50)
19-08-2008,Siliguri,126.26(125.14)
19-08-2008,Jalpaiguri,NS(NS)
19-08-2008,mjunction,
19-08-2008,Cochin,112.76(116.63)
19-08-2008,Coonoor,67.35(92.82)
19-08-2008,Coimbatore,82.24(94.11)
27-12-2008,Kolkata,101.19(85.17)
27-12-2008,Guwahati,87.26(78.43)
27-12-2008,Siliguri,84.90(72.10)
27-12-2008,Jalpaiguri,N.S.(N.S.)
27-12-2008,mjunction,
27-12-2008,Cochin,N.S.(N.S.)
27-12-2008,Coonoor,N.S.(52.12)
27-12-2008,Coimbatore,N.S.(N.S.)
20-12-2008,Kolkata,102.69(85.00)
20-12-2008,Guwahati,89.04(78.85)
20-12-2008,Siliguri,86.30(74.92)
20-12-2008,Jalpaiguri,N.S.(N.S.)
20-12-2008,mjunction,
20-12-2008,Cochin,76.11(55.12)
20-12-2008,Coonoor,65.73(51.89)
20-12-2008,Coimbatore,68.85(52.22)
13-12-2008,Kolkata,103.91(83.16)
13-12-2008,Guwahati,89.92(76.55)
13-12-2008,Siliguri,86.17(73.01)
13-12-2008,Jalpaiguri,N.S.(N.S.)
13-12-2008,mjunction,
13-12-2008,Cochin,73.64(54.54)
13-12-2008,Coonoor,61.87(48.50)
13-12-2008,Coimbatore,64.28(50.96)
06-12-2008,Kolkata,107.01(81.61)
06-12-2008,Guwahati,94.69(74.96)
06-12-2008,Siliguri,85.79(70.89)
06-12-2008,Jalpaiguri,N.S.(N.S.)
06-12-2008,mjunction,
06-12-2008,Cochin,68.78(54.60)
06-12-2008,Coonoor,59.21(47.41)
06-12-2008,Coimbatore,60.08(49.41)
29-11-2008,Kolkata,109.99(81.00)
29-11-2008,Guwahati,96.88(73.03)
29-11-2008,Siliguri,86.99(69.46)
29-11-2008,Jalpaiguri,N.S.(N.S.)
29-11-2008,mjunction,
29-11-2008,Cochin,76.35(56.10)
29-11-2008,Coonoor,60.96(46.38)
29-11-2008,Coimbatore,61.21(49.96)
22-11-2008,Kolkata,108.47(79.76)
22-11-2008,Guwahati,96.74(72.71)
22-11-2008,Siliguri,86.72(69.77)
22-11-2008,Jalpaiguri,N.S.(N.S.)
22-11-2008,mjunction,
22-11-2008,Cochin,81.30(54.90)
22-11-2008,Coonoor,66.08(44.20)
22-11-2008,Coimbatore,68.17(47.50)
22-11-2008,Kolkata,108.47(79.76)
22-11-2008,Guwahati,96.74(72.71)
22-11-2008,Siliguri,86.72(69.77)
22-11-2008,Jalpaiguri,N.S.(N.S.)
22-11-2008,mjunction,
22-11-2008,Cochin,81.30(54.90)
22-11-2008,Coonoor,66.08(44.20)
22-11-2008,Coimbatore,68.17(47.50)
15-11-2008,Kolkata,108.05(80.56)
15-11-2008,Guwahati,98.75(71.47)
15-11-2008,Siliguri,89.07(66.30)
15-11-2008,Jalpaiguri,N.S.(N.S.)
15-11-2008,mjunction,
15-11-2008,Cochin,78.64(54.44)
15-11-2008,Coonoor,68.09(41.10)
15-11-2008,Coimbatore,70.54(44.99)
08-11-2008,Kolkata,107.74(85.28)
08-11-2008,Guwahati,100.19(72.13)
08-11-2008,Siliguri,90.18(N.S.)
08-11-2008,Jalpaiguri,N.S.(N.S.)
08-11-2008,mjunction,
08-11-2008,Cochin,N.S.(55.12)
08-11-2008,Coonoor,69.09(39.64)
08-11-2008,Coimbatore,70.57(N.S.)
01-11-2008,Kolkata,109.91(81.02)
01-11-2008,Guwahati,101.33(70.80)
01-11-2008,Siliguri,90.01(65.26)
01-11-2008,Jalpaiguri,N.S.(N.S.)
01-11-2008,mjunction,
01-11-2008,Cochin,82.30(55.05)
01-11-2008,Coonoor,74.88(40.34)
01-11-2008,Coimbatore,72.64(44.40)
25-10-2008,Kolkata,115.59(81.40)
25-10-2008,Guwahati,106.51(N.S.)
25-10-2008,Siliguri,96.21(65.00)
25-10-2008,Jalpaiguri,N.S.(N.S.)
25-10-2008,mjunction,
25-10-2008,Cochin,89.77(52.80)
25-10-2008,Coonoor,79.81(38.46)
25-10-2008,Coimbatore,N.S.(43.02)
18-10-2008,Kolkata,114.94(N.S.)
18-10-2008,Guwahati,107.29(71.60)
18-10-2008,Siliguri,98.95(N.S.)
18-10-2008,Jalpaiguri,N.S.(N.S.)
18-10-2008,mjunction,
18-10-2008,Cochin,94.33(50.39)
18-10-2008,Coonoor,83.46(38.46)
18-10-2008,Coimbatore,84.63(42.04)
11-10-2008,Kolkata,N.S.(82.55)
11-10-2008,Guwahati,N.S.(70.87)
11-10-2008,Siliguri,N.S.(64.98)
11-10-2008,Jalpaiguri,N.S.(N.S.)
11-10-2008,mjunction,
11-10-2008,Cochin,92.87(53.90)
11-10-2008,Coonoor,82.53(38.74)
11-10-2008,Coimbatore,84.91(43.78)
04-10-2008,Kolkata,115.09(79.87)
04-10-2008,Guwahati,105.22(69.28)
04-10-2008,Siliguri,97.97(63.23)
04-10-2008,Jalpaiguri,N.S.(N.S.)
04-10-2008,mjunction,
04-10-2008,Cochin,93.66(54.70)
04-10-2008,Coonoor,80.75(39.35)
04-10-2008,Coimbatore,82.52(43.67)
27-09-2008,Kolkata,113.53(81.56)
27-09-2008,Guwahati,105.63(68.32)
27-09-2008,Siliguri,97.14(62.81)
27-09-2008,Jalpaiguri,N.S.(N.S.)
27-09-2008,mjunction,
27-09-2008,Cochin,101.48(54.73)
27-09-2008,Coonoor,84.21(39.04)
27-09-2008,Coimbatore,88.01(43.94)
20-09-2008,Kolkata,111.95(80.02)
20-09-2008,Guwahati,102.50(67.00)
20-09-2008,Siliguri,97.94(62.37)
20-09-2008,Jalpaiguri,N.S.(N.S.)
20-09-2008,mjunction,
20-09-2008,Cochin,97.23(53.84)
20-09-2008,Coonoor,83.63(39.36)
20-09-2008,Coimbatore,87.11(44.10)
13-09-2008,Kolkata,107.91(79.75)
13-09-2008,Guwahati,98.82(66.05)
13-09-2008,Siliguri,91.65(61.51)
13-09-2008,Jalpaiguri,N.S.(N.S.)
13-09-2008,mjunction,
13-09-2008,Cochin,N.S.(53.48)
13-09-2008,Coonoor,75.67(39.82)
13-09-2008,Coimbatore,80.32(43.93)
06-09-2008,Kolkata,108.35(80.10)
06-09-2008,Guwahati,97.37(67.68)
06-09-2008,Siliguri,88.80(60.74)
06-09-2008,Jalpaiguri,N.S.(N.S.)
06-09-2008,mjunction,
06-09-2008,Cochin,87.68(52.82)
06-09-2008,Coonoor,72.11(41.05)
06-09-2008,Coimbatore,75.62(43.01)
30-08-2008,Kolkata,108.77(80.99)
30-08-2008,Guwahati,95.99(66.90)
30-08-2008,Siliguri,88.54(60.63)
30-08-2008,Jalpaiguri,N.S.(N.S.)
30-08-2008,mjunction,
30-08-2008,Cochin,83.78(N.S.)
30-08-2008,Coonoor,70.56(40.73)
30-08-2008,Coimbatore,72.13(43.57)
23-08-2008,Kolkata,111.18(81.63)
23-08-2008,Guwahati,96.22(67.46)
23-08-2008,Siliguri,89.13(61.67)
23-08-2008,Jalpaiguri,N.S.(N.S.)
23-08-2008,mjunction,
23-08-2008,Cochin,83.49(54.47)
23-08-2008,Coonoor,70.95(40.16)
23-08-2008,Coimbatore,73.42(43.58)
16-08-2008,Kolkata,111.94(82.70)
16-08-2008,Guwahati,95.60(68.49)
16-08-2008,Siliguri,88.31(62.76)
16-08-2008,Jalpaiguri,N.S.(N.S.)
16-08-2008,mjunction,
16-08-2008,Cochin,82.30(54.01)
16-08-2008,Coonoor,71.69(39.51)
16-08-2008,Coimbatore,74.86(43.11)
09-08-2008,Kolkata,109.39(81.41)
09-08-2008,Guwahati,93.26(67.94)
09-08-2008,Siliguri,87.57(64.28)
09-08-2008,Jalpaiguri,N.S.(N.S.)
09-08-2008,mjunction,
09-08-2008,Cochin,77.37(54.27)
09-08-2008,Coonoor,69.87(39.14)
09-08-2008,Coimbatore,70.84(43.26)
02-08-2008,Kolkata,109.56(83.42)
02-08-2008,Guwahati,92.43(68.66)
02-08-2008,Siliguri,87.63(64.51)
02-08-2008,Jalpaiguri,N.S.(N.S.)
02-08-2008,mjunction,
02-08-2008,Cochin,74.07(53.75)
02-08-2008,Coonoor,67.35(40.34)
02-08-2008,Coimbatore,69.07(42.84)
26-07-2008,Kolkata,109.92(84.19)
26-07-2008,Guwahati,91.90(72.20)
26-07-2008,Siliguri,86.69(66.19)
26-07-2008,Jalpaiguri,N.S.(N.S.)
26-07-2008,mjunction,
26-07-2008,Cochin,69.20(58.45)
26-07-2008,Coonoor,64.11(40.09)
26-07-2008,Coimbatore,65.73(43.04)
19-07-2008,Kolkata,116.96(86.37)
19-07-2008,Guwahati,91.72(69.88)
19-07-2008,Siliguri,84.84(66.65)
19-07-2008,Jalpaiguri,N.S.(N.S.)
19-07-2008,mjunction,
19-07-2008,Cochin,68.34(54.15)
19-07-2008,Coonoor,62.48(41.01)
19-07-2008,Coimbatore,63.32(45.29)
12-07-2008,Kolkata,116.47(92.88)
12-07-2008,Guwahati,92.94(72.20)
12-07-2008,Siliguri,84.06(66.63)
12-07-2008,Jalpaiguri,N.S.(N.S.)
12-07-2008,mjunction,
12-07-2008,Cochin,67.69(53.71)
12-07-2008,Coonoor,61.93(40.47)
12-07-2008,Coimbatore,62.89(43.57)
05-07-2008,Kolkata,119.28(96.71)
05-07-2008,Guwahati,93.29(75.10)
05-07-2008,Siliguri,85.92(67.73)
05-07-2008,Jalpaiguri,N.S.(N.S.)
05-07-2008,mjunction,
05-07-2008,Cochin,67.94(52.86)
05-07-2008,Coonoor,61.77(40.62)
05-07-2008,Coimbatore,64.07(44.43)
05-07-2008,Kolkata,119.28(96.71)
05-07-2008,Guwahati,93.29(75.10)
05-07-2008,Siliguri,85.92(67.73)
05-07-2008,Jalpaiguri,N.S.(N.S.)
05-07-2008,mjunction,
05-07-2008,Cochin,67.94(52.86)
05-07-2008,Coonoor,61.77(40.62)
05-07-2008,Coimbatore,64.07(44.43)
28-06-2008,Kolkata,118.11(97.11)
28-06-2008,Guwahati,94.97(78.96)
28-06-2008,Siliguri,89.44(69.40)
